Relatório de campanha
9 de agosto de 2026 - 12 de agosto de 2026
Ação de conversão,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,Pontuação de otimização,Tipo de campanha,Impr.,Interações,Taxa de interação,Custo médio,Custo,Custo / todas as conv.,Valor conv.,Valor dos resultados,Tipo de estratégia de lances,Taxa de conv.,Valor conv. / custo,Conversões,Custo / conv.,Valor original da conv.
Página de sucesso,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,0,0, --,0,0,0,"1,00","Compra: 1,00",ROAS desejado, --,0,"1,00",0,"1,00"
Nuvemshop Website purchases,Ativada,01 - EVOLUTE - Vendas - PMax,"255,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,"88,99",Performance Max,0,0, --,0,0,0,"2.128,80","Compra: 2.128,80",ROAS desejado, --,0,"2,00",0,"2.128,80"
 --,Total: Campanhas, --, --, --, --,BRL, --,, --, --,0,0, --,0,0,0,"2.129,80","Compra: 2.129,80", --, --,0,"3,00",0,"2.129,80"
 --,Total: Campanhas, --, --, --, --,BRL, --,, --, --,0,0, --,0,0,0,0,0, --, --,0,0,0,0
 --,Total: Campanhas, --, --, --, --, --, --,, --, --,0,0, --,0,0,0,0,0, --, --,0,0,0,0
Nuvemshop Website purchases,Total: Campanhas, --, --, --, --, --, --,, --, --,0,0, --,0,0,0,0,0, --, --,0,0,0,0
Página de sucesso,Total: Campanhas, --, --, --, --, --, --,, --, --,0,0, --,0,0,0,0,0, --, --,0,0,0,0
 --,Total: Campanhas, --, --, --, --, --, --,, --, --,0,0, --,0,0,0,0,0, --, --,0,0,0,0
Nuvemshop Website purchases,Total: Campanhas, --, --, --, --,BRL, --,, --, --,0,0, --,0,0,0,"2.128,80","Compra: 2.128,80", --, --,0,"2,00",0,"2.128,80"
Página de sucesso,Total: Campanhas, --, --, --, --,BRL, --,, --, --,0,0, --,0,0,0,"1,00","Compra: 1,00", --, --,0,"1,00",0,"1,00"
,Total: Conta,,,,,BRL,,,,,8.478,618,"7,29%","1,64","1013,26","337,75","2.129,80","Compra: 2.129,80",,"0,49%","2,10","3,00","337,75","2.129,80"
Página de sucesso,Total: Conta,,,,,,,,,,0,0, --,0,0,0,"1,00","Compra: 1,00",, --,0,"1,00",0,"1,00"
Nuvemshop Website purchases,Total: Conta,,,,,,,,,,0,0, --,0,0,0,"2.128,80","Compra: 2.128,80",, --,0,"2,00",0,"2.128,80"
,Total: Pesquisa,,,,,BRL,,,,Pesquisa,0,0, --,0,"0,00",0,"0,00",0,,"0,00%","0,00","0,00","0,00","0,00"
,Total: Performance Max,,,,,BRL,,,,Performance Max,8.478,618,"7,29%","1,64","1013,26","337,75","2.129,80","Compra: 2.129,80",,"0,49%","2,10","3,00","337,75","2.129,80"
Página de sucesso,Total: Performance Max,,,,,,,,,Performance Max,0,0, --,0,0,0,"1,00","Compra: 1,00",, --,0,"1,00",0,"1,00"
Nuvemshop Website purchases,Total: Performance Max,,,,,,,,,Performance Max,0,0, --,0,0,0,"2.128,80","Compra: 2.128,80",, --,0,"2,00",0,"2.128,80"
